DISAPPROVALS_BL,DISAPPROVALS_EN,DISAPPROVALS_FM,DISAPPROVALS_OM,NOTE_BL,NOTE_EN,NOTE_FM,NOTE_OM,ENGLISH,H_CLASS_PRES,ONLINE_TASKS,ABSENCES,NOTE_BL_CAT,NOTE_EN_CAT,NOTE_FM_CAT,NOTE_OM_CAT
0.0,0.0,0.0,0.0,6.6,6.0,5.2,5.4,0.0,5.0,4.0,3.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.6,5.8,5.1,5.0,1.0,5.0,5.0,4.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.8,5.9,5.1,5.5,1.0,3.0,1.0,5.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.9,7.0,8.1,5.7,0.0,5.0,5.0,3.0,"(6, 8]","(6, 8]","(8, 10]","(4, 6]"
0.0,0.0,0.0,0.0,7.6,6.7,6.8,6.8,1.0,2.0,3.0,5.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.2,4.5,5.6,5.3,1.0,4.0,3.0,5.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.3,7.3,10.0,7.6,1.0,5.0,4.0,4.0,"(6, 8]","(6, 8]","(8, 10]","(6, 8]"
0.0,0.0,0.0,0.0,6.5,7.2,7.4,7.2,1.0,2.0,5.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.4,6.8,5.4,5.4,1.0,2.0,2.0,5.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.8,5.3,5.3,4.8,1.0,2.0,2.0,6.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,4.8,4.5,5.1,5.0,1.0,13.0,0.0,1.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.2,5.6,5.3,4.6,0.0,5.0,3.0,5.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.5,5.5,8.1,6.6,1.0,5.0,5.0,3.0,"(4, 6]","(4, 6]","(8, 10]","(6, 8]"
1.0,3.0,1.0,1.0,0.0,0.0,0.0,5.4,1.0,12.0,4.0,8.0,"(-1, 2]","(-1, 2]","(-1, 2]","(4, 6]"
0.0,0.0,0.0,0.0,5.1,6.3,5.2,5.4,1.0,4.0,4.0,5.0,"(4, 6]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.7,5.4,5.0,4.8,1.0,2.0,3.0,4.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
1.0,1.0,1.0,3.0,0.0,0.0,0.0,5.4,1.0,5.0,5.0,5.0,"(-1, 2]","(-1, 2]","(-1, 2]","(4, 6]"
0.0,0.0,1.0,1.0,5.9,4.8,0.0,0.0,1.0,2.0,2.0,5.0,"(4, 6]","(4, 6]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,7.7,8.1,6.5,5.4,1.0,11.0,5.0,2.0,"(6, 8]","(8, 10]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.5,4.7,5.2,5.6,0.0,2.0,2.0,3.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.6,7.5,8.5,6.9,0.0,4.0,5.0,4.0,"(6, 8]","(6, 8]","(8, 10]","(6, 8]"
0.0,0.0,0.0,0.0,5.3,5.7,5.5,5.2,1.0,2.0,5.0,3.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,7.1,6.9,6.1,6.8,1.0,3.0,2.0,5.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.6,5.7,7.4,6.2,1.0,2.0,2.0,6.0,"(6, 8]","(4, 6]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.7,6.4,5.2,5.9,1.0,2.0,2.0,4.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,7.8,7.9,9.2,6.8,0.0,9.0,4.0,3.0,"(6, 8]","(6, 8]","(8, 10]","(6, 8]"
0.0,0.0,0.0,0.0,6.3,6.8,5.3,6.4,1.0,5.0,1.0,6.0,"(6, 8]","(6, 8]","(4, 6]","(6, 8]"
0.0,0.0,0.0,0.0,5.8,4.3,5.2,5.3,1.0,3.0,1.0,6.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.3,7.9,9.4,7.0,1.0,5.0,5.0,4.0,"(6, 8]","(6, 8]","(8, 10]","(6, 8]"
0.0,0.0,0.0,0.0,6.3,5.7,6.1,5.4,1.0,3.0,3.0,4.0,"(6, 8]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.8,7.4,6.1,6.0,1.0,4.0,3.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.1,5.8,4.8,6.2,0.0,3.0,1.0,4.0,"(6, 8]","(4, 6]","(4, 6]","(6, 8]"
0.0,0.0,0.0,0.0,6.4,5.9,5.4,4.9,0.0,5.0,3.0,4.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.9,4.6,4.9,5.4,1.0,4.0,3.0,3.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.6,6.3,6.3,5.4,1.0,2.0,1.0,6.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,5.7,6.8,5.5,6.5,1.0,5.0,5.0,5.0,"(4, 6]","(6, 8]","(4, 6]","(6, 8]"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,3.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,5.5,5.3,5.3,5.8,1.0,2.0,2.0,6.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
3.0,1.0,3.0,1.0,0.0,0.0,0.0,5.4,0.0,5.0,3.0,5.0,"(-1, 2]","(-1, 2]","(-1, 2]","(4, 6]"
0.0,0.0,0.0,0.0,7.2,6.9,6.7,5.5,1.0,5.0,2.0,6.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,7.9,8.6,8.8,5.4,0.0,21.0,6.0,1.0,"(6, 8]","(8, 10]","(8, 10]","(4, 6]"
0.0,0.0,1.0,1.0,6.8,6.6,0.0,0.0,1.0,5.0,5.0,3.0,"(6, 8]","(6, 8]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,5.5,5.8,4.5,5.3,1.0,2.0,1.0,2.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.7,7.1,7.1,7.6,1.0,5.0,3.0,5.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,1.0,1.0,6.9,5.4,0.0,0.0,0.0,4.0,5.0,2.0,"(6, 8]","(4, 6]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,6.5,5.7,5.1,5.4,1.0,3.0,2.0,6.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.1,7.4,7.8,7.1,1.0,5.0,3.0,2.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.8,7.4,7.7,6.6,1.0,3.0,3.0,5.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,7.3,7.5,8.5,5.5,0.0,25.0,5.0,2.0,"(6, 8]","(6, 8]","(8, 10]","(4, 6]"
0.0,0.0,0.0,0.0,6.5,6.0,6.7,6.4,1.0,3.0,4.0,5.0,"(6, 8]","(4, 6]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.3,4.8,6.3,4.7,1.0,5.0,0.0,3.0,"(6, 8]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,5.8,6.8,4.9,5.8,0.0,2.0,2.0,6.0,"(4, 6]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.0,7.4,5.3,5.7,1.0,5.0,2.0,5.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.5,5.3,5.9,4.7,1.0,3.0,5.0,4.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.2,5.3,5.7,4.8,1.0,2.0,3.0,6.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,4.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,7.6,8.2,9.0,5.4,0.0,7.0,2.0,4.0,"(6, 8]","(8, 10]","(8, 10]","(4, 6]"
0.0,0.0,0.0,0.0,5.9,6.5,5.9,5.5,1.0,4.0,5.0,3.0,"(4, 6]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.2,8.0,8.7,7.5,0.0,14.0,7.0,2.0,"(6, 8]","(6, 8]","(8, 10]","(6, 8]"
1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,6.0,2.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,5.5,4.4,4.6,5.6,1.0,5.0,7.0,1.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.0,4.9,6.1,5.0,1.0,4.0,4.0,3.0,"(4, 6]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.4,5.9,6.2,6.9,0.0,4.0,2.0,6.0,"(6, 8]","(4, 6]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,7.4,7.6,7.4,7.3,0.0,3.0,3.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,6.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,6.3,5.9,5.0,5.2,1.0,3.0,2.0,3.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.5,6.6,7.3,6.6,1.0,9.0,5.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,6.2,5.1,6.7,6.0,1.0,0.0,1.0,5.0,"(6, 8]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.3,7.2,4.8,6.1,1.0,7.0,3.0,3.0,"(6, 8]","(6, 8]","(4, 6]","(6, 8]"
0.0,0.0,0.0,0.0,7.3,7.0,7.8,5.4,0.0,4.0,3.0,5.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.3,5.7,7.3,5.7,1.0,2.0,2.0,4.0,"(6, 8]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.1,7.0,6.0,6.0,1.0,5.0,3.0,5.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.9,5.5,5.8,6.0,1.0,3.0,2.0,4.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.2,6.0,5.0,5.5,1.0,2.0,2.0,6.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.8,5.5,5.3,5.8,1.0,14.0,5.0,3.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,1.0,1.0,5.1,4.8,0.0,0.0,1.0,3.0,2.0,3.0,"(4, 6]","(4, 6]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,7.0,5.8,7.1,6.5,0.0,5.0,2.0,4.0,"(6, 8]","(4, 6]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.3,5.5,6.6,5.6,1.0,2.0,5.0,4.0,"(6, 8]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.0,6.0,5.9,5.4,1.0,7.0,4.0,4.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.2,6.2,5.6,5.4,1.0,1.0,2.0,5.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,4.8,5.1,5.1,4.9,1.0,2.0,1.0,7.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.8,6.7,7.0,5.7,1.0,1.0,3.0,5.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,7.3,6.6,5.6,6.3,0.0,5.0,0.0,5.0,"(6, 8]","(6, 8]","(4, 6]","(6, 8]"
1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,6.7,7.0,5.6,5.4,0.0,4.0,2.0,5.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,3.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,6.8,7.5,8.7,7.2,0.0,16.0,5.0,2.0,"(6, 8]","(6, 8]","(8, 10]","(6, 8]"
0.0,0.0,0.0,0.0,4.4,4.9,4.7,4.4,0.0,5.0,0.0,3.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.5,7.5,7.2,5.7,0.0,12.0,5.0,4.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.2,6.8,7.5,5.4,1.0,7.0,5.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.5,4.8,5.1,5.3,1.0,4.0,1.0,5.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.8,6.3,4.5,4.9,0.0,3.0,2.0,3.0,"(4, 6]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.8,5.0,7.6,4.7,1.0,5.0,5.0,3.0,"(4, 6]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,5.3,5.4,5.1,5.4,1.0,2.0,2.0,3.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.4,6.5,4.7,5.8,1.0,5.0,1.0,3.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,6.4,7.3,7.7,7.0,1.0,3.0,2.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,6.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.4,1.0,4.0,3.0,4.0,"(-1, 2]","(-1, 2]","(-1, 2]","(4, 6]"
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,5.4,5.8,4.5,5.0,1.0,12.0,5.0,1.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.1,5.0,5.6,5.6,1.0,3.0,3.0,6.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,6.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,6.8,6.7,5.6,5.3,1.0,8.0,5.0,3.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.5,6.8,5.9,5.0,1.0,11.0,6.0,1.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.1,7.8,9.2,6.9,1.0,10.0,2.0,3.0,"(6, 8]","(6, 8]","(8, 10]","(6, 8]"
0.0,0.0,0.0,0.0,4.7,5.5,5.8,5.4,1.0,2.0,0.0,8.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.3,4.5,5.1,4.3,1.0,3.0,5.0,3.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.3,5.7,6.3,5.6,1.0,1.0,2.0,6.0,"(6, 8]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,5.9,5.8,5.2,5.1,1.0,4.0,0.0,8.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.8,5.3,4.7,5.4,1.0,5.0,2.0,6.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.6,7.0,7.4,5.4,1.0,4.0,2.0,6.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.6,6.7,5.7,5.4,0.0,4.0,5.0,3.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.6,4.9,5.2,5.6,1.0,3.0,7.0,6.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.0,5.0,4.6,5.4,1.0,5.0,1.0,3.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.3,6.2,8.6,7.2,1.0,4.0,0.0,3.0,"(6, 8]","(6, 8]","(8, 10]","(6, 8]"
0.0,0.0,1.0,3.0,6.3,5.6,0.0,5.4,1.0,3.0,1.0,6.0,"(6, 8]","(4, 6]","(-1, 2]","(4, 6]"
0.0,0.0,0.0,0.0,5.9,5.7,5.9,4.8,0.0,5.0,5.0,4.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.5,6.7,7.2,5.6,1.0,0.0,5.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,5.9,5.2,5.7,5.4,1.0,5.0,2.0,3.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.6,5.9,5.1,5.4,1.0,5.0,2.0,6.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,7.5,7.8,7.3,7.1,1.0,7.0,6.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,7.6,6.8,9.6,7.3,1.0,5.0,5.0,2.0,"(6, 8]","(6, 8]","(8, 10]","(6, 8]"
0.0,0.0,0.0,0.0,5.4,5.2,6.1,5.3,1.0,5.0,2.0,3.0,"(4, 6]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.6,6.4,6.6,5.5,0.0,9.0,5.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,7.0,6.9,6.9,5.9,1.0,11.0,5.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.4,5.0,6.6,5.4,0.0,3.0,5.0,3.0,"(6, 8]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,5.8,5.1,6.9,6.0,0.0,2.0,0.0,3.0,"(4, 6]","(4, 6]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,5.4,5.4,5.5,5.4,1.0,3.0,3.0,4.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,3.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,7.7,7.9,9.3,5.4,0.0,25.0,7.0,1.0,"(6, 8]","(6, 8]","(8, 10]","(4, 6]"
0.0,0.0,0.0,0.0,7.1,7.1,6.8,6.3,1.0,7.0,2.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,7.1,7.7,6.5,6.9,0.0,2.0,0.0,1.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.3,6.5,6.7,5.4,0.0,9.0,2.0,6.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.7,6.9,7.6,6.2,1.0,5.0,2.0,7.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.1,6.1,5.5,5.4,1.0,3.0,4.0,3.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,1.0,1.0,5.6,5.2,0.0,0.0,1.0,4.0,4.0,4.0,"(4, 6]","(4, 6]","(-1, 2]","(-1, 2]"
1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,7.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,1.0,1.0,7.5,7.4,0.0,0.0,0.0,18.0,0.0,1.0,"(6, 8]","(6, 8]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,5.4,4.8,4.6,5.0,1.0,5.0,2.0,5.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.4,6.3,5.0,4.8,1.0,0.0,1.0,7.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,4.9,5.6,4.6,5.4,1.0,6.0,0.0,6.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.5,6.7,5.4,5.7,0.0,4.0,4.0,5.0,"(6, 8]","(6, 8]","(4, 6]","(4, 6]"
1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,"(-1, 2]","(-1, 2]","(-1, 2]","(-1, 2]"
0.0,0.0,0.0,0.0,7.2,7.5,7.2,6.7,1.0,15.0,5.0,2.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,7.0,6.0,5.2,5.4,0.0,7.0,2.0,6.0,"(6, 8]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,5.5,5.2,5.4,5.7,1.0,3.0,1.0,6.0,"(4, 6]","(4, 6]","(4, 6]","(4, 6]"
0.0,0.0,0.0,0.0,6.5,6.3,6.3,5.4,1.0,6.0,3.0,2.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,7.5,7.4,6.9,6.8,0.0,3.0,5.0,3.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
0.0,0.0,0.0,0.0,6.6,6.7,6.8,5.4,1.0,8.0,2.0,6.0,"(6, 8]","(6, 8]","(6, 8]","(4, 6]"
0.0,0.0,0.0,0.0,6.7,6.1,6.9,6.2,1.0,7.0,3.0,5.0,"(6, 8]","(6, 8]","(6, 8]","(6, 8]"
